,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Chinwag,American (New),4.5,££,21 Lewisham Way,51.4751791028272,-0.0351671713981808,https://www.yelp.com/biz/chinwag-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,07iun95qUOuTR7aWShFwUw
1,Bodean's,American (Traditional),4.0,££,D'Arblay House,51.514481362499,-0.13676105637839,https://www.yelp.com/biz/bodeans-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Fa9718rkbQuMh3DYgvsSYw
2,The Fat Bear,American (Traditional),4.5,££,61 Carter Lane,51.5131833881734,-0.10138103121642,https://www.yelp.com/biz/the-fat-bear-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Z0r83lDOA1mI8RpNccXtHw
3,Sticky Fingers,American (Traditional),3.5,££,1a Phillimore Gardens,51.49988,-0.198297,https://www.yelp.com/biz/sticky-fingers-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YuQUXWOJROqOSeo0a19M5w
4,The Breakfast Club,American (Traditional),3.5,££,12-16 Artillery Lane,51.5183525085449,-0.0783239975571632,https://www.yelp.com/biz/the-breakfast-club-london-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wFWiE3iYnAeZAqY_rYUijw
5,Gaucho,Argentine,4.0,£££,25 Swallow Street,51.50968,-0.1379546,https://www.yelp.com/biz/gaucho-london-22?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VBQWqRMbt31fIUGlWUMkeQ
6,Gaucho - Tower Bridge,Argentine,4.0,£££,2 More London Riverside,51.5048025184846,-0.0801444053649902,https://www.yelp.com/biz/gaucho-tower-bridge-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wFxsp5CZCnyVs1nEheJADg
7,Fischer's,Austrian,4.0,£££,50 Marylebone High Street,51.5216155579831,-0.151699820819173,https://www.yelp.com/biz/fischers-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,apqNvjbaB20wozywrLNPiQ
8,Hansel & Pretzel,Bakeries,5.0,££,71 Ham Street,51.4384193,-0.3134942,https://www.yelp.com/biz/hansel-and-pretzel-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RQxZlkXAAiDA6KNmvThi5w
9,GAIL's Bakery,Bakeries,,,240-242 Kensington High Street,51.49891,-0.2001699,,
10,Byward Kitchen & Bar,Bakeries,4.0,££,Byward Street,51.5092887647333,-0.0789638981223106,https://www.yelp.com/biz/byward-kitchen-and-bar-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xViBKVW8zxlrxLfDam2eqg
11,Upper Fleet Bakery,Bakeries,,,7 - 11 Upper Woburn place,51.5263319313231,-0.129384561430401,,
12,Raab's Bakery,Bakeries,5.0,£,136 Essex Road,51.5393189,-0.0977451,https://www.yelp.com/biz/raabs-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DARE_WvgMZINvslycDPJFQ
13,Camden Bakery,Bakeries,4.5,£,94 Camden High Street,51.5370833,-0.1407642,https://www.yelp.com/biz/camden-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pa2j9BlCHH8mRIk-TtD6UQ
14,Greggs,Bakeries,4.0,£,702c Fulham Road,51.4746146,-0.2068644,https://www.yelp.com/biz/greggs-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,WqJ5Pp0pB-kZI6qa4tdlsA
15,HotBox,Barbeque,4.0,£££,46-48 Commercial Street,51.5170698872586,-0.0733181834220886,https://www.yelp.com/biz/hotbox-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZeRFcWpgERKSFY1Rvuq8VA
16,The Lyric,Bars,4.5,££,37 Great Windmill Street,51.511283,-0.134466,https://www.yelp.com/biz/the-lyric-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3yvDAVKLDtsXZEHrskuobA
17,Simpsons Tavern,Bars,4.0,££,Ballcourt 38 1/2 Cornhill,51.5131443111499,-0.0860142708131661,https://www.yelp.com/biz/simpsons-tavern-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Knha-8wa2_RPavK_o9qfQQ
18,Dirty Bones,Bars,4.0,££,20 Kensington Church St,51.5026391,-0.1911358,https://www.yelp.com/biz/dirty-bones-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,qQrQr-3WddVRFqsBaTe_wg
19,The Sausage Man UK Ltd,"Beer, Wine & Spirits",,,Unit 1 St Margaret's Farm,51.4117036,0.2600253,,
20,The Jugged Hare,Brasseries,4.0,£££,49 Chiswell Street,51.520789,-0.090935,https://www.yelp.com/biz/the-jugged-hare-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,tWqe8jJBRf-TjqwQAn1Xfw
21,Raizes,Brazilian,3.0,££,460 Hackney Road,51.532062,-0.058945,https://www.yelp.com/biz/raizes-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xueM-mMFg2p-wweqiITstw
22,Rodizio Rico,Brazilian,4.0,££,77-78 Upper Street,51.5365104675293,-0.103692002594471,https://www.yelp.com/biz/rodizio-rico-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,WYHgZEH5oeYoCAs__BCNzg
23,Preto,Brazilian,3.5,££,72 Wilton Road,51.4930272155551,-0.140680427009754,https://www.yelp.com/biz/preto-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,LMGXgoqJDLM5ZDD72oigPg
24,The Breakfast Club,Breakfast & Brunch,3.5,££,2-4 Rufus Street,51.5269878207578,-0.0811266326024151,https://www.yelp.com/biz/the-breakfast-club-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ao-yAAnj8D_D9WI7qgLOow
25,Soho Joe,Breakfast & Brunch,,,34 D'Arblay St,51.5149162419674,-0.135393677274406,,
26,The Modern Pantry,Breakfast & Brunch,4.0,££,47-48 St John's Square,51.5230301121618,-0.103575187145258,https://www.yelp.com/biz/the-modern-pantry-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zOLPCLptUE2UKRXYWCEHvg
27,Caravan Kings Cross,Breakfast & Brunch,4.0,££,1 Granary Square,51.5357788239146,-0.125370576153865,https://www.yelp.com/biz/caravan-kings-cross-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,B6ayHXLwfYBuIADficAeMg
28,Lantana Cafe,Breakfast & Brunch,4.0,££,13 Charlotte Place,51.5189676,-0.1359559,https://www.yelp.com/biz/lantana-cafe-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xl05GXufB5wPlGQL75wiJA
29,Caravan,Breakfast & Brunch,4.0,££,11-13 Exmouth Market,51.5254718215956,-0.110122750616417,https://www.yelp.com/biz/caravan-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Bc4GZfIUJu9363QQVACZVA
30,Ffiona's Restaurant,British,4.5,££,51 Kensington Church Street,51.50405773515,-0.192783395566043,https://www.yelp.com/biz/ffionas-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,70Q-Ll18zb4aglXXbUG7lw
31,The Honest Sausage,British,,,Broad Walk,51.5309066184409,-0.150675773620605,,
32,The Ginger Pig Café,British,4.0,££,231 Hoxton Street,51.5333665,-0.0801603,https://www.yelp.com/biz/the-ginger-pig-caf%C3%A9-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hilvZ2LeTt6lR6CAH7Tmpg
33,The Ivy,British,4.0,£££,1 - 5 West Street,51.512814,-0.128013,https://www.yelp.com/biz/the-ivy-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,75-HeBBB391Np6T7GdJ5xQ
34,The Pig and Butcher,British,4.5,££,80 Liverpool Road,51.537442542029,-0.10682789450616,https://www.yelp.com/biz/the-pig-and-butcher-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3R0Klq1B1ESNTwqPfcsY-w
35,The Greenwich Union,British,4.5,££,56 Royal Hill,51.47653480684,-0.0095805481062472,https://www.yelp.com/biz/the-greenwich-union-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,uq52voow6qazaRAFJ0ceMw
36,Niche,British,4.0,££,197-199 Rosebery Avenue,51.5299391920297,-0.105478788954883,https://www.yelp.com/biz/niche-london-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,NCj4ufnnu9iJuJVy_15nxw
37,Hawksmoor Seven Dials,British,4.5,£££,11 Langley Street,51.5134998914001,-0.12567396291297,https://www.yelp.com/biz/hawksmoor-seven-dials-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,0B-ag3J18TatG9H9EQohGg
38,The Pride Of Paddington,British,3.5,££,1-3 Craven Road,51.5149423,-0.176487,https://www.yelp.com/biz/the-pride-of-paddington-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,CmTi8AXcTp7RsS4fdoDZ4g
39,De Vine Restaurant and Coffee Bar,British,,,19 Vine Street,51.5109241386221,-0.0755801994950509,,
40,Gino's Coffee Bar,British,4.5,£,Great Central St,51.5222244262695,-0.162099003791809,https://www.yelp.com/biz/ginos-coffee-bar-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,N0kfB-iYOb3Fs9RkOfwBlA
41,Shane's on Chatsworth,British,,,62 Chatsworth Road,51.5542755126953,-0.0448880009353161,,
42,Terrace Grill and Bar,British,4.5,££,21 Piccadilly,51.5092748320384,-0.136759439958052,https://www.yelp.com/biz/terrace-grill-and-bar-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zlAyFg09KhOFncHQ-eKyFA
43,Apres Food Co.,British,4.5,£,72 Saint John Street,51.521479,-0.101328,https://www.yelp.com/biz/apres-food-co-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JETHlrp_LakVWuXq_o6_xQ
44,Heap's Sausage Shop,British,4.5,£,8 Nevada Street,51.4795609,-0.0073732,https://www.yelp.com/biz/heaps-sausage-shop-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PX3IwDtLn9SZnBJcPhvP-Q
45,Maria's Market Café,British,4.0,£,Borough Market,51.505117,-0.091086,https://www.yelp.com/biz/marias-market-caf%C3%A9-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XSiTrSnaA3H50zaMWjyGOQ
46,The Orangery,British,4.0,£££,Kensington Palace,51.5066360577041,-0.187725349125042,https://www.yelp.com/biz/the-orangery-london-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PBFvhVyBi0lEJyTbyuxf5w
47,Banger Bros,British,3.5,££,225a Portobello Road,51.516636,-0.2057331,https://www.yelp.com/biz/banger-bros-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wDco0qMw8raEZxmpAWko4g
48,St John Bar and Restaurant,British,4.0,£££,26 St John Street,51.520481,-0.101486,https://www.yelp.com/biz/st-john-bar-and-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,P3YeWO3ODeWmQVi-IilkAQ
49,Muriel's Kitchen,British,4.0,££,Unit 1,51.494117,-0.174468,https://www.yelp.com/biz/muriels-kitchen-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wm6Hwzan5qYhTzCDmO3oDQ
50,The Queens Arms,British,4.5,££,11 Warwick Way,51.4925789,-0.1392194,https://www.yelp.com/biz/the-queens-arms-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Wjgxl0lSp_FRtzecbJ4FZQ
51,Mother Mash,British,4.0,££,26 Ganton Street,51.512935,-0.139414,https://www.yelp.com/biz/mother-mash-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,IBV7BsXnv2gX68nWUARhjw
52,MEATmarket,Burgers,3.5,££,The Deck Jubilee Market Hall,51.5115639700479,-0.121881224701809,https://www.yelp.com/biz/meatmarket-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,m1HQUczUwC4-WfGnIfgQkg
53,Eggslut,Burgers,,,185 Portobello Road,51.5153442,-0.2048745,,
54,Shake Shack Covent Garden,Burgers,3.5,££,24 Market Building,51.511818,-0.122506,https://www.yelp.com/biz/shake-shack-covent-garden-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vmBxOLRJEme7m-wR5CdgcQ
55,The Bolton,Burgers,4.0,££,326 Earls Court Road,51.4895706,-0.1904267,https://www.yelp.com/biz/the-bolton-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Ae9Z7QFj3nftRSmhT8ncKg
56,The Naked Sausage,Burgers,,,Chapel Market,51.533441,-0.109657,,
57,O'shea's Butchers,Butcher,4.5,££,120 Druid Street,51.498826,-0.0737,https://www.yelp.com/biz/o-sheas-butchers-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,qORMGjRfN0tVN6vN2YtQYw
58,Cannon & Cannon Fine Foods,Butcher,4.5,££,Unit 4W,51.5062980117458,-0.0913849306884913,https://www.yelp.com/biz/cannon-and-cannon-fine-foods-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VVghAJA5WjFVMUnnKcpQxQ
59,Kent & Sons Butchers,Butcher,4.5,££££,59 St Johns Wood High Street,51.53358857053,-0.170991120813964,https://www.yelp.com/biz/kent-and-sons-butchers-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HVfH72v8FqPCOEkQS0e_EA
60,Kennington Lane Cafe,Cafes,5.0,£,383 Kennington Lane,51.4860611,-0.1208514,https://www.yelp.com/biz/kennington-lane-cafe-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,p77CnjTGOIZA1hEpLfCC6Q
61,The Brewhouse,Cafes,,,Hampstead Lane,51.571336,-0.167637,,
62,Mimos Cafe,Cafes,4.0,£,19 London Street,51.5150959,-0.174005,https://www.yelp.com/biz/mimos-cafe-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3ViNQObKHR6l02hkvBFClw
63,Regency Café,Cafes,4.5,£,17-19 Regency Street,51.4940143171,-0.13222007974201,https://www.yelp.com/biz/regency-caf%C3%A9-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YNduANMPzIVE8CzBH7YjEQ
64,Sun Cafe,Cafes,4.0,£,55-63 Goswell Road,51.524381,-0.099477,https://www.yelp.com/biz/sun-cafe-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,LdVANIJFLBrwsGkijiSSwA
65,Chadwick's Butchers,Cheese Shops,4.0,££££,109 Balham High Road,51.445142,-0.1511436,https://www.yelp.com/biz/chadwicks-butchers-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Z53l9X3kK_rgPOmMGT6Lmw
66,Harrods Food Hall,Cheese Shops,4.0,£££,87-135 Brompton Road,51.4990917420527,-0.162348972665107,https://www.yelp.com/biz/harrods-food-hall-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nHMn6sJQEj1c2cnGThyvvg
67,Kipferl,Coffee & Tea,4.0,££,20 Camden Passage,51.535247538411,-0.10339315152949,https://www.yelp.com/biz/kipferl-london-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xqpUr61KFa1Xx721-E6l_A
68,The Breakfast Club,Coffee & Tea,4.0,££,33 D'Arblay Street,51.514733,-0.135406,https://www.yelp.com/biz/the-breakfast-club-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,tYynO1nOy1GKxMV3jkxbmw
